"","month","State","meanTemp","meanGust","meanRain"
"1","Jan","Australian Capital Territory",20.921916971917,42.6394736842105,1.9970515970516
"2","Jan","New South Wales",25.1698352737181,42.7138202552267,2.86139546727782
"3","Jan","Northern Territory",29.912058423913,46.0457697642164,7.16407103825137
"4","Jan","Queensland",27.6669150858175,38.4487534626039,8.82925045703839
"5","Jan","South Australia",24.6324257425743,45.063233965673,0.761559383499547
"6","Jan","Tasmania",19.2044802867384,45.1597096188748,1.39156193895871
"7","Jan","Victoria",21.9004729996058,44.3853211009174,1.21784860557769
"8","Jan","Western Australia",24.2956725616292,44.1267605633803,0.664289602612956
"9","Feb","Australian Capital Territory",19.5988363363363,39.4055374592834,3.10060606060606
"10","Feb","New South Wales",24.5960187708144,40.3367651942876,3.59882716049383
"11","Feb","Northern Territory",29.640522875817,44.5940099833611,7.623973727422
"12","Feb","Queensland",27.61025,38.2340182648402,9.7097065462754
"13","Feb","South Australia",23.9353055555556,43.0358744394619,0.998204264870932
"14","Feb","Tasmania",18.8615597345133,40.9667405764967,1.08097345132743
"15","Feb","Victoria",21.509012195122,42.5007422068283,1.37115956392468
"16","Feb","Western Australia",24.0206175298805,43.5237377543331,0.719919786096257
"17","Mar","Australian Capital Territory",17.2937661498708,37.9127516778523,2.30091264667536
"18","Mar","New South Wales",22.7529408138101,38.8075067024129,3.56451857467779
"19","Mar","Northern Territory",28.7589784263959,40.5877763328999,4.15262483994878
"20","Mar","Queensland",26.7727682596934,37.992606284658,7.6926162260711
"21","Mar","South Australia",21.2859613656783,40.0503663003663,0.986672710788758
"22","Mar","Tasmania",17.4366039426523,39.9298561151079,1.54332129963899
"23","Mar","Victoria",19.3739910748933,40.6780258519389,1.35219092331768
"24","Mar","Western Australia",22.2234864577801,40.648632218845,0.983413590155163
"25","Apr","Australian Capital Territory",13.123381294964,34.9171597633136,1.8047619047619
"26","Apr","New South Wales",19.7580163043478,35.5303781773094,3.32260793465578
"27","Apr","Northern Territory",25.8216407355021,37.0822510822511,1.53219373219373
"28","Apr","Queensland",24.9421907756813,36.7771911298838,4.22808870116156
"29","Apr","South Australia",18.1345511482255,36.7100840336134,1.35688748685594
"30","Apr","Tasmania",14.5518828451883,38.0337552742616,1.26359832635983
"31","Apr","Victoria",16.1545708538221,38.0386012715713,1.62126410835214
"32","Apr","Western Australia",19.7260876320696,35.680985915493,1.31142498430634
"33","May","Australian Capital Territory",8.83136200716846,36.3272283272283,1.22400960384154
"34","May","New South Wales",16.2175844346549,34.1511503477796,2.22721122525683
"35","May","Northern Territory",22.5313144329897,36.3722438391699,0.687741935483871
"36","May","Queensland",22.3442741208296,35.4825046040516,2.5805504587156
"37","May","South Australia",14.5429342934293,35.6404697380307,1.66477064220183
"38","May","Tasmania",11.4190860215054,38.3794964028777,1.90555555555556
"39","May","Victoria",12.8250573833206,37.515953307393,1.58131274131274
"40","May","Western Australia",16.2771960364221,35.5252152521525,2.95670498084291
"41","Jun","Australian Capital Territory",6.6402390438247,35.0189701897019,2.4064602960969
"42","Jun","New South Wales",13.7001159494976,34.9223191669012,3.88450184501845
"43","Jun","Northern Territory",19.462400530504,36.4748299319728,0.180984042553191
"44","Jun","Queensland",20.2097682119205,34.6419047619048,2.26565176022835
"45","Jun","South Australia",11.6423498570067,35.0134874759152,1.88646833013436
"46","Jun","Tasmania",9.38809980806142,36.3359073359073,2.20057581573896
"47","Jun","Victoria",10.2106927104309,35.7334423548651,1.9937168502652
"48","Jun","Western Australia",14.3485527809308,36.7832898172324,3.74351635514019
"49","Jul","Australian Capital Territory",5.4140252454418,38.5231213872832,1.9885269121813
"50","Jul","New South Wales",12.9119787408013,36.0977375565611,2.02306196165602
"51","Jul","Northern Territory",19.5494256756757,37.8011049723757,0.287144790257104
"52","Jul","Queensland",19.6337414299706,35.1192118226601,1.0920197044335
"53","Jul","South Australia",11.1600294985251,39.1190476190476,2.23393034825871
"54","Jul","Tasmania",8.93602661596958,40.1957773512476,2.23984674329502
"55","Jul","Victoria",9.88837878142309,40.6437768240343,2.02344559585492
"56","Jul","Western Australia",13.0600293255132,37.6550783912747,4.17847263980758
"57","Aug","Australian Capital Territory",6.66509695290859,42.3504531722054,1.72506963788301
"58","Aug","New South Wales",14.2385207588672,38.2290775809407,1.91897810218978
"59","Aug","Northern Territory",21.3805555555556,39.4295774647887,0.115330520393812
"60","Aug","Queensland",20.5053134182174,34.9861523244313,1.13392330383481
"61","Aug","South Australia",12.4587106299213,42.4407630522088,2.01382765531062
"62","Aug","Tasmania",9.97958891013384,43.1409266409266,2.51376673040153
"63","Aug","Victoria",10.9480114844747,43.9513236549957,1.96964208710651
"64","Aug","Western Australia",14.2210697399527,39.1295302013423,3.67724770642202
"65","Sep","Australian Capital Territory",10.1321123755334,43.7913446676971,2.43719599427754
"66","Sep","New South Wales",17.0805769230769,40.9407709182075,1.60571843251089
"67","Sep","Northern Territory",25.0785714285714,40.4530791788856,0.433819241982507
"68","Sep","Queensland",22.7917424242424,36.0736949846469,1.05072164948454
"69","Sep","South Australia",15.0635924796748,44.037037037037,1.7088295687885
"70","Sep","Tasmania",12.2185897435897,45.058,2.10276679841897
"71","Sep","Victoria",13.1838461538462,44.7854917668002,2.01742222222222
"72","Sep","Western Australia",15.1265846153846,43.2992805755396,3.10378096479791
"73","Oct","Australian Capital Territory",13.0037024456522,44.1386861313869,1.97154582763338
"74","Oct","New South Wales",19.2928423522916,42.1544715447154,1.74847552447552
"75","Oct","Northern Territory",27.967418899859,41.9602272727273,1.21184767277856
"76","Oct","Queensland",24.2436336924584,38.7361111111111,2.16356435643564
"77","Oct","South Australia",17.7542401960784,43.546626984127,0.962981243830207
"78","Oct","Tasmania",13.595619047619,45.7938342967245,1.56660305343511
"79","Oct","Victoria",15.3837058322691,45.044616044616,1.60427276650842
"80","Oct","Western Australia",18.0271867612293,41.2197580645161,1.38374923919659
"81","Nov","Australian Capital Territory",16.8516644021739,42.8988439306358,2.6887074829932
"82","Nov","New South Wales",22.1810953058321,42.5842941726395,3.12913752913753
"83","Nov","Northern Territory",29.6467741935484,43.4145616641902,2.74273127753304
"84","Nov","Queensland",26.1092358299595,37.2389743589744,2.62886386898669
"85","Nov","South Australia",20.7887677484787,43.5107692307692,0.853916581892167
"86","Nov","Tasmania",15.7065815324165,43.6141732283465,2.12043222003929
"87","Nov","Victoria",18.1598504837291,43.5381205673759,1.84890673806336
"88","Nov","Western Australia",20.4506131207848,43.1317991631799,1.17394278606965
"89","Dec","Australian Capital Territory",18.3713315217391,43.0859259259259,3.16
"90","Dec","New South Wales",23.3602836879433,42.8626986810957,2.66579196964907
"91","Dec","Northern Territory",29.7966715976331,43.6707503828484,5.66741071428571
"92","Dec","Queensland",27.1160606060606,37.5963302752294,5.05282631038027
"93","Dec","South Australia",22.3458378378378,44.1507592190889,1.1852422907489
"94","Dec","Tasmania",17.3287373737374,44.1252525252525,1.52454361054767
"95","Dec","Victoria",19.9992026266417,44.4549763033175,1.55986748698533
"96","Dec","Western Australia",22.0074584717608,43.7936024371668,0.679497623896809
